ID,Name,Country,League,Club
p267384,Flint,United States,NWSL,Rac. Louisville
p265080,Fölmli,Switzerland,GPFBL,SC Freiburg
p272056,Inma Gabarro,Spain,Barclays WSL,Everton
p226320,Gautrat,United States,NWSL,Orlando Pride
p245871,Gibson,Scotland,Scottish Women's League,Glasgow City FC
p227115,Gorry,Australia,Barclays WSL,West Ham
p263009,Hampton,England,Barclays WSL,Chelsea
p265274,Hanson,Scotland,Barclays WSL,Aston Villa
p268989,Heil,France,Arkema PL,FC Fleury 91
p265059,Hoffmann,Germany,GPFBL,RB Leipzig
p227003,Hurtig,Sweden,Barclays WSL,Arsenal
p264967,Kiedrzynek,Poland,Arkema PL,Paris SG
p265070,Kolb,Austria,GPFBL,SC Freiburg
p262092,Krumbiegel,Germany,Calcio A Femminile,Juventus
p267221,Kuikka,Finland,NWSL,Chicago Red Stars
p264905,Le Guilly,France,Arkema PL,Paris SG
p246029,Lee Geum Min,Korea Republic,Barclays WSL,Brighton
p265004,Linder,Germany,GPFBL,VfL Wolfsburg
p272101,Anita Marcos,Spain,Liga F,Valencia CF
p243264,McCaskill,United States,NWSL,San Diego Wave
p264725,Eva Navarro,Spain,Liga F,Real Madrid CF
p272123,Nerea Nevado,Spain,Liga F,Athletic Club
p266939,Nildén,Sweden,Barclays WSL,Spurs
p272053,Rosa Otermín,Spain,Liga F,Atlético de Madrid
p265903,Ouchene,France,Arkema PL,Montpellier
p244064,Pelova,Holland,Barclays WSL,Arsenal
p272064,Itziar Pinillos,Spain,Liga F,Levante Badalona
p227404,Quinn,Canada,NWSL,Seattle Reign
p271444,Nuria Rábano,Spain,GPFBL,VfL Wolfsburg
p264901,Rall,Germany,NWSL,Chicago Red Stars
p233343,Riley,New Zealand,NWSL,Angel City FC
p268993,Lucía Rodríguez,Spain,Liga F,Real Sociedad
p247796,Roebuck,England,Liga F,FC Barcelona
p238096,Rose,Canada,Barclays WSL,Leicester City
p267227,Ryan,United States,NWSL,NJ/NY Gotham
p245959,Sáez,Chile,Barclays WSL,West Ham
p267328,Salmon,England,Barclays WSL,Aston Villa
p244301,Schmitz,Germany,GPFBL,VfL Wolfsburg
p267264,Staab,United States,NWSL,Chicago Red Stars
p269805,Szemik,Poland,Barclays WSL,West Ham
p264999,Tufeković,Germany,GPFBL,TSG Hoffenheim
p263012,Turner,England,Barclays WSL,Manchester Utd
p264891,Vilhjálmsdóttir,Iceland,GPFBL,Leverkusen
p265118,Voll,Germany,GPFBL,Leverkusen
p265295,Walsh,Republic of Ireland,Barclays WSL,West Ham
p241847,Wedemeyer,Germany,GPFBL,VfL Wolfsburg
p267391,Westphal,United States,NWSL,San Diego Wave
p235594,Zadorsky,Canada,Barclays WSL,West Ham
p265102,Zawistowska,Poland,GPFBL,FC Bayern München
p273946,Albert,United States,Arkema PL,Paris SG
p272138,Jone Amezaga,Spain,Liga F,Athletic Club
p276359,Banda,Zambia,NWSL,Orlando Pride
p263966,Bennison,Sweden,Calcio A Femminile,Juventus
p246786,Bergamaschi,Italy,Calcio A Femminile,Juventus
p272207,Alejandra Bernabé,Spain,Barclays WSL,Chelsea
p265076,Borggräfe,Germany,GPFBL,SC Freiburg
p267530,Brugts,Holland,Liga F,FC Barcelona
p264998,Bühler,Switzerland,Barclays WSL,Spurs
p253437,Marta Cardona,Spain,Liga F,Atlético de Madrid
p266967,Ceasar,Romania,Calcio A Femminile,Roma
p265025,Cerci,Germany,GPFBL,TSG Hoffenheim
p279799,Chawinga,Malawi,NWSL,KC Current
p264989,Corley,United States,GPFBL,TSG Hoffenheim
p245875,Corsie,Scotland,Barclays WSL,Aston Villa
p274780,Luany,Brazil,Liga F,Atlético de Madrid
p266970,Di Guglielmo,Italy,Calcio A Femminile,Roma
p267311,DiGrande,United States,NWSL,Rac. Louisville
p262090,Dongus,Germany,GPFBL,TSG Hoffenheim
p265305,Evans,Scotland,Scottish Women's League,Glasgow City FC
p248799,Fowler,Australia,Barclays WSL,Manchester City
p245443,Galli,Italy,Barclays WSL,Everton
p246286,Nahikari,Spain,Liga F,Athletic Club
p253742,Glionna,Italy,Calcio A Femminile,Roma
p272004,Érika González,Spain,Liga F,Levante UD
p272225,Paola Hernández,Spain,Liga F,UD Tenerife
p275971,Hoekstra,Holland,Nederland Vrouwen Liga,Ajax
p273177,Holdt,Denmark,Sverige Liga,FC Rosengård
p264941,Holmgren,Sweden,Liga F,Levante UD
p267220,Hubly,United States,NWSL,Portland Thorns
p274644,Hunt,Australia,Barclays WSL,Spurs
p227356,Jaurena,France,Arkema PL,FC Fleury 91
p272163,Elena Julve,Spain,Liga F,Levante Badalona
p264922,Kögel,Germany,GPFBL,Leverkusen
p236642,Krueger,United States,NWSL,Washington Spirit
p246358,Larroquette,Argentina,NWSL,Orlando Pride
p227359,Lavogez,France,Liga F,Real Sociedad
p227397,Leon,Canada,Barclays WSL,Aston Villa
p272012,Silvia Lloris,Spain,Liga F,Atlético de Madrid
p272021,María Valenzuela,Spain,Liga F,Levante Badalona
p227201,Vicky Losada,Spain,Barclays WSL,Brighton
p265947,Louis,Haiti,Arkema PL,FC Fleury 91
p272114,Lundkvist,Sweden,NWSL,San Diego Wave
p271860,Mahmutovic,Germany,GPFBL,FC Bayern München
p262460,Rosa Márquez,Spain,Liga F,Real Betis
p264950,Martinez,Germany,GPFBL,SC Freiburg
p243776,Mathias,United States,NWSL,Angel City FC
p267371,Nielsen,United States,NWSL,Houston Dash
p246317,Nouwen,Holland,Barclays WSL,Chelsea
p267237,Ordóñez,Mexico,NWSL,Houston Dash
p227349,Philippe,France,Arkema PL,Havre AC
p272135,Clara Pinedo,Spain,Liga F,Athletic Club
p265854,Puntigam,Austria,NWSL,Houston Dash
p272224,Natalia Ramos,Spain,Liga F,UD Tenerife
p264915,Repohl,Germany,GPFBL,Leverkusen
p267388,Riehl,United States,NWSL,Utah Royals FC
p267372,Roccaro,United States,NWSL,Chicago Red Stars
p271943,Enith Salón,Spain,Liga F,Valencia CF
p262089,Starke,Germany,GPFBL,RB Leipzig
p226350,Stengel,United States,NWSL,NJ/NY Gotham
p275808,Szewieczková,Czech Republic,Ceska Liga Žen,Slavia Praha
p272020,Andrea Tarazona,Spain,Liga F,Levante UD
p272206,Ana Tejada,Spain,NWSL,Utah Royals FC
p258704,Thibaud,France,Barclays WSL,Leicester City
p265277,Thomas,Scotland,Barclays WSL,Spurs
p264924,Turányi,Hungary,GPFBL,Leverkusen
p248728,Ueki,Japan,Barclays WSL,West Ham
p272061,Paola Ulloa,Spain,Liga F,Madrid CFF
p265040,Votíková,Czech Republic,Ceska Liga Žen,Slavia Praha
p267376,Weatherholt,United States,NWSL,NC Courage
p275813,Bartovičová,Slovakia,Ceska Liga Žen,Slavia Praha
p245873,Beattie,Scotland,NWSL,Bay FC
p272094,Fiamma Benítez,Spain,Liga F,Atlético de Madrid
p267251,Biegalski,United States,NWSL,Chicago Red Stars
p264896,Bizet,Norway,Barclays WSL,Manchester Utd
p264671,Blom,Belgium,Liga F,UD Tenerife
p264058,Blomqvist,Sweden,GPFBL,VfL Wolfsburg
p266947,Boureille,United States,Arkema PL,Montpellier
p266996,Cantore,Italy,Calcio A Femminile,Juventus
p247725,Carle,Canada,NWSL,Washington Spirit
p264875,Casparij,Holland,Barclays WSL,Manchester City
p272131,Mariana Cerro,Spain,Liga F,Athletic Club
p227384,Chapman,Canada,NWSL,Houston Dash
p266949,Laia Codina,Spain,Barclays WSL,Arsenal
p275948,de Sanders,Holland,Nederland Vrouwen Liga,Ajax
p264985,Degen,Austria,GPFBL,1. FC Köln
p272125,Ane Elexpuru,Spain,Liga F,Athletic Club
p243403,Emslie,Scotland,NWSL,Angel City FC
p265055,Endemann,Germany,GPFBL,VfL Wolfsburg
p267673,Mélissa Gomes,Portugal,Arkema PL,Stade de Reims
p265301,Fisk,England,Barclays WSL,Liverpool
p266551,George,England,Barclays WSL,Manchester Utd
p267367,Gorden,United States,NWSL,Angel City FC
p264988,Harsch,Germany,GPFBL,TSG Hoffenheim
p267203,Hiatt,United States,NWSL,NJ/NY Gotham
p272337,Hickelsberger,Austria,GPFBL,TSG Hoffenheim
p247512,Huitema,Canada,NWSL,Seattle Reign
